Domain,Area,Element,Item,Year,Unit,Value
"Pesticides Use","Austria","Agricultural Use","Insecticides – Pyrethroids","2011","t","6.3"
"Pesticides Use","Austria","Agricultural Use","Insecticides – Pyrethroids","2012","t","8.6"
"Pesticides Use","Austria","Agricultural Use","Insecticides – Pyrethroids","2013","t","8.89"
"Pesticides Use","Austria","Agricultural Use","Insecticides – Pyrethroids","2014","t","11.77"
"Pesticides Use","Austria","Agricultural Use","Insecticides – Pyrethroids","2015","t","15"
"Pesticides Use","Austria","Agricultural Use","Insecticides – Pyrethroids","2016","t","13.68"
"Pesticides Use","Austria","Agricultural Use","Insecticides – Pyrethroids","2017","t","15"
"Pesticides Use","Austria","Agricultural Use","Insecticides – Pyrethroids","2018","t","16"
"Pesticides Use","Austria","Agricultural Use","Insecticides – Pyrethroids","2019","t","20.48"
"Pesticides Use","Austria","Agricultural Use","Insecticides – Pyrethroids","2020","t","28.48"
"Pesticides Use","Austria","Agricultural Use","Insecticides – Pyrethroids","2021","t","22.92"
"Pesticides Use","Austria","Agricultural Use","Insecticides – Pyrethroids","2022","t","27.24"
"Pesticides Use","Austria","Agricultural Use","Herbicides – Sulfonyl ureas","2011","t","47.7"
"Pesticides Use","Austria","Agricultural Use","Herbicides – Sulfonyl ureas","2012","t","13.7"
"Pesticides Use","Austria","Agricultural Use","Herbicides – Sulfonyl ureas","2013","t","16.39"
"Pesticides Use","Austria","Agricultural Use","Herbicides – Sulfonyl ureas","2014","t","16.53"
"Pesticides Use","Austria","Agricultural Use","Herbicides – Sulfonyl ureas","2015","t","15.41"
"Pesticides Use","Austria","Agricultural Use","Herbicides – Sulfonyl ureas","2016","t","12.78"
"Pesticides Use","Austria","Agricultural Use","Herbicides – Sulfonyl ureas","2017","t","24.78"
"Pesticides Use","Austria","Agricultural Use","Herbicides – Sulfonyl ureas","2018","t","23.19"
"Pesticides Use","Austria","Agricultural Use","Herbicides – Sulfonyl ureas","2019","t","13.92"
"Pesticides Use","Austria","Agricultural Use","Herbicides – Sulfonyl ureas","2020","t","14.51"
"Pesticides Use","Austria","Agricultural Use","Herbicides – Sulfonyl ureas","2021","t","15.31"
"Pesticides Use","Austria","Agricultural Use","Herbicides – Sulfonyl ureas","2022","t","22.03"
"Pesticides Use","Austria","Agricultural Use","Fung & Bact – Triazoles, diazoles","2011","t","71.3"
"Pesticides Use","Austria","Agricultural Use","Fung & Bact – Triazoles, diazoles","2012","t","83.7"
"Pesticides Use","Austria","Agricultural Use","Fung & Bact – Triazoles, diazoles","2013","t","83.86"
"Pesticides Use","Austria","Agricultural Use","Fung & Bact – Triazoles, diazoles","2014","t","127.67"
"Pesticides Use","Austria","Agricultural Use","Fung & Bact – Triazoles, diazoles","2015","t","138.7"
"Pesticides Use","Austria","Agricultural Use","Fung & Bact – Triazoles, diazoles","2016","t","137.9"
"Pesticides Use","Austria","Agricultural Use","Fung & Bact – Triazoles, diazoles","2017","t","116.74"
"Pesticides Use","Austria","Agricultural Use","Fung & Bact – Triazoles, diazoles","2018","t","108.37"
"Pesticides Use","Austria","Agricultural Use","Fung & Bact – Triazoles, diazoles","2019","t","95.59"
"Pesticides Use","Austria","Agricultural Use","Fung & Bact – Triazoles, diazoles","2020","t","92.23"
"Pesticides Use","Austria","Agricultural Use","Fung & Bact – Triazoles, diazoles","2021","t","110.42"
"Pesticides Use","Austria","Agricultural Use","Fung & Bact – Triazoles, diazoles","2022","t","124.77"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","1990","t","40"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","1991","t","44"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","1992","t","75"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","1993","t","64"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","1994","t","41"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","1995","t","17"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","1996","t","14"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","1997","t","10"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","1998","t","12"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","1999","t","5"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2000","t","9.1"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2001","t","8.6"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2002","t","10.8"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2003","t","10.4"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2004","t","6.6"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2005","t","9.5"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2006","t","16.3"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2007","t","30.4"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2008","t","39.8"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2009","t","47.6"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2010","t","48.5"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2011","t","59.4"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2012","t","67.4"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2013","t","45.39"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2014","t","53.53"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2015","t","68.72"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2016","t","77.89"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2017","t","81.7"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2018","t","84.31"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2019","t","63.21"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2020","t","46.04"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2021","t","52.04"
"Pesticides Use","Austria","Agricultural Use","Plant Growth Regulators","2022","t","66.76"
"Pesticides Use","Belgium","Agricultural Use","Insecticides – Pyrethroids","2000","t","5.7"
"Pesticides Use","Belgium","Agricultural Use","Insecticides – Pyrethroids","2001","t","5.8"
"Pesticides Use","Belgium","Agricultural Use","Insecticides – Pyrethroids","2007","t","7.83"
"Pesticides Use","Belgium","Agricultural Use","Insecticides – Pyrethroids","2008","t","6.63"
"Pesticides Use","Belgium","Agricultural Use","Insecticides – Pyrethroids","2009","t","6.04"
"Pesticides Use","Belgium","Agricultural Use","Insecticides – Pyrethroids","2010","t","7.81"
"Pesticides Use","Belgium","Agricultural Use","Insecticides – Pyrethroids","2011","t","8.24"
"Pesticides Use","Belgium","Agricultural Use","Insecticides – Pyrethroids","2012","t","10.89"
"Pesticides Use","Belgium","Agricultural Use","Insecticides – Pyrethroids","2013","t","9.93"
"Pesticides Use","Belgium","Agricultural Use","Insecticides – Pyrethroids","2014","t","9.44"
"Pesticides Use","Belgium","Agricultural Use","Insecticides – Pyrethroids","2015","t","8.82"
"Pesticides Use","Belgium","Agricultural Use","Insecticides – Pyrethroids","2016","t","10.9"
"Pesticides Use","Belgium","Agricultural Use","Insecticides – Pyrethroids","2017","t","11.66"
"Pesticides Use","Belgium","Agricultural Use","Insecticides – Pyrethroids","2018","t","15.19"
"Pesticides Use","Belgium","Agricultural Use","Insecticides – Pyrethroids","2019","t","13.62"
"Pesticides Use","Belgium","Agricultural Use","Insecticides – Pyrethroids","2020","t","12.87"
"Pesticides Use","Belgium","Agricultural Use","Insecticides – Pyrethroids","2021","t","11.88"
"Pesticides Use","Belgium","Agricultural Use","Insecticides – Pyrethroids","2022","t","13.75"
"Pesticides Use","Belgium","Agricultural Use","Herbicides – Sulfonyl ureas","2000","t","4"
"Pesticides Use","Belgium","Agricultural Use","Herbicides – Sulfonyl ureas","2001","t","24"
"Pesticides Use","Belgium","Agricultural Use","Herbicides – Sulfonyl ureas","2007","t","9.09"
"Pesticides Use","Belgium","Agricultural Use","Herbicides – Sulfonyl ureas","2008","t","11.16"
"Pesticides Use","Belgium","Agricultural Use","Herbicides – Sulfonyl ureas","2009","t","11.45"
"Pesticides Use","Belgium","Agricultural Use","Herbicides – Sulfonyl ureas","2010","t","9.95"
"Pesticides Use","Belgium","Agricultural Use","Herbicides – Sulfonyl ureas","2011","t","10.25"
"Pesticides Use","Belgium","Agricultural Use","Herbicides – Sulfonyl ureas","2012","t","11.67"
"Pesticides Use","Belgium","Agricultural Use","Herbicides – Sulfonyl ureas","2013","t","12.44"
"Pesticides Use","Belgium","Agricultural Use","Herbicides – Sulfonyl ureas","2014","t","10.86"
"Pesticides Use","Belgium","Agricultural Use","Herbicides – Sulfonyl ureas","2015","t","12.48"
"Pesticides Use","Belgium","Agricultural Use","Herbicides – Sulfonyl ureas","2016","t","14.79"
"Pesticides Use","Belgium","Agricultural Use","Herbicides – Sulfonyl ureas","2017","t","11.56"
"Pesticides Use","Belgium","Agricultural Use","Herbicides – Sulfonyl ureas","2018","t","10.36"
"Pesticides Use","Belgium","Agricultural Use","Herbicides – Sulfonyl ureas","2019","t","9.96"
"Pesticides Use","Belgium","Agricultural Use","Herbicides – Sulfonyl ureas","2020","t","10.04"
"Pesticides Use","Belgium","Agricultural Use","Herbicides – Sulfonyl ureas","2021","t","12.25"
"Pesticides Use","Belgium","Agricultural Use","Herbicides – Sulfonyl ureas","2022","t","15.92"
"Pesticides Use","Belgium","Agricultural Use","Fung & Bact – Triazoles, diazoles","2000","t","101"
"Pesticides Use","Belgium","Agricultural Use","Fung & Bact – Triazoles, diazoles","2001","t","88"
"Pesticides Use","Belgium","Agricultural Use","Fung & Bact – Triazoles, diazoles","2007","t","109.99"
"Pesticides Use","Belgium","Agricultural Use","Fung & Bact – Triazoles, diazoles","2008","t","207.33"
"Pesticides Use","Belgium","Agricultural Use","Fung & Bact – Triazoles, diazoles","2009","t","128.16"
"Pesticides Use","Belgium","Agricultural Use","Fung & Bact – Triazoles, diazoles","2010","t","118.47"
"Pesticides Use","Belgium","Agricultural Use","Fung & Bact – Triazoles, diazoles","2011","t","125.67"
"Pesticides Use","Belgium","Agricultural Use","Fung & Bact – Triazoles, diazoles","2012","t","134.55"
"Pesticides Use","Belgium","Agricultural Use","Fung & Bact – Triazoles, diazoles","2013","t","146.53"
"Pesticides Use","Belgium","Agricultural Use","Fung & Bact – Triazoles, diazoles","2014","t","172.03"
"Pesticides Use","Belgium","Agricultural Use","Fung & Bact – Triazoles, diazoles","2015","t","166.81"
