Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1961","1961","ha","275822","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1961","1961","kg/ha","2580.2","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1961","1961","t","711673","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1962","1962","ha","270351","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1962","1962","kg/ha","2612.2","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1962","1962","t","706206","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1963","1963","ha","274722","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1963","1963","kg/ha","2509.9","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1963","1963","t","689528","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1964","1964","ha","282967","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1964","1964","kg/ha","2652.4","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1964","1964","t","750534","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1965","1965","ha","275654","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1965","1965","kg/ha","2396.9","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1965","1965","t","660712","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1966","1966","ha","313812","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1966","1966","kg/ha","2858.1","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1966","1966","t","896906","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1967","1967","ha","316319","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1967","1967","kg/ha","3304.9","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1967","1967","t","1045402","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1968","1968","ha","305691","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1968","1968","kg/ha","3417.5","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1968","1968","t","1044709","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1969","1969","ha","286470","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1969","1969","kg/ha","3317.2","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1969","1969","t","950279","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1970","1970","ha","275229","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1970","1970","kg/ha","2944.5","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1970","1970","t","810424","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1971","1971","ha","273849","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1971","1971","kg/ha","3557.7","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1971","1971","t","974281","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1972","1972","ha","274404","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1972","1972","kg/ha","3146.1","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1972","1972","t","863310","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1973","1973","ha","266287","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1973","1973","kg/ha","3526.8","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1973","1973","t","939152","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1974","1974","ha","269131","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1974","1974","kg/ha","4093.8","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1974","1974","t","1101762","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1975","1975","ha","269567","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1975","1975","kg/ha","3506.3","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1975","1975","t","945188","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1976","1976","ha","289328","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1976","1976","kg/ha","4263.4","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1976","1976","t","1233520","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1977","1977","ha","285158","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1977","1977","kg/ha","3758.8","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1977","1977","t","1071848","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1978","1978","ha","286038","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1978","1978","kg/ha","4177.1","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1978","1978","t","1194808","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1979","1979","ha","270188","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1979","1979","kg/ha","3145.7","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1979","1979","t","849921","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1980","1980","ha","268753","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1980","1980","kg/ha","4467.3","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5510","Production","0111","Wheat","1980","1980","t","1200599","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5312","Area harvested","0111","Wheat","1981","1981","ha","274286","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0111","Wheat","1981","1981","kg/ha","3737","A","Official figure",""
