Domain,Area,Element,Item,Year,Unit,Value
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1961","t","52300"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1961","kg/ha","26.84"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1962","t","64239"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1962","kg/ha","33.11"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1963","t","68254"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1963","kg/ha","35.69"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1964","t","73380"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1964","kg/ha","38.31"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1965","t","91292"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1965","kg/ha","47.55"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1966","t","89581"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1966","kg/ha","47.82"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1967","t","98787"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1967","kg/ha","53.24"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1968","t","112915"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1968","kg/ha","60.78"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1969","t","120737"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1969","kg/ha","64.68"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1970","t","125822"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1970","kg/ha","67.36"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1971","t","139379"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1971","kg/ha","74.62"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1972","t","135983"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1972","kg/ha","72.76"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1973","t","132103"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1973","kg/ha","73.75"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1974","t","125553"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1974","kg/ha","70.1"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1975","t","121444"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1975","kg/ha","67.93"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1976","t","143269"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1976","kg/ha","79.69"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1977","t","134519"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1977","kg/ha","74.41"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1978","t","154000"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1978","kg/ha","84.26"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1979","t","158000"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1979","kg/ha","87.67"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient nitrogen N (total)","1980","t","159700"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient nitrogen N (total)","1980","kg/ha","87.91"
