,Year,Area,Value
0,1951,Austria,1.0299193827011088
1,1952,Austria,1.064646877464079
2,1953,Austria,1.380021140258037
3,1954,Austria,1.0325547897080365
4,1955,Austria,1.2835207486703308
5,1956,Austria,1.15725355707294
6,1957,Austria,1.0814794274591688
7,1958,Austria,1.2573326492098122
8,1959,Austria,0.8644827831626517
9,1960,Austria,0.9868028213097528
10,1961,Austria,1.1755345078330182
11,1962,Austria,1.1811401563236634
12,1963,Austria,1.1932202901246929
13,1964,Austria,0.9593565902155136
14,1965,Austria,0.9155477439116994
15,1966,Austria,1.388116689754506
16,1967,Austria,1.1716532091367438
17,1968,Austria,1.2268509058374075
18,1969,Austria,0.8882054888742615
19,1970,Austria,0.9992544383465916
20,1971,Austria,1.106974442454535
21,1972,Austria,1.3408057006202598
22,1973,Austria,1.2562905505871689
23,1974,Austria,1.2301794314051993
24,1975,Austria,1.2305473292659408
25,1976,Austria,1.3505495861682804
26,1977,Austria,1.147483792534162
27,1978,Austria,1.319116659739232
28,1979,Austria,1.1492215653659303
29,1980,Austria,1.1913351082624273
30,1981,Austria,0.9786649366977676
31,1982,Austria,1.214413058350268
32,1983,Austria,1.064236623732506
33,1984,Austria,1.122020839204914
34,1985,Austria,1.1163680011308903
35,1986,Austria,1.1484241509831266
36,1987,Austria,1.1843994997961056
37,1988,Austria,1.3822462052606317
38,1989,Austria,1.111165175651986
39,1990,Austria,1.2549336249088625
40,1991,Austria,1.289825578559745
41,1992,Austria,1.1037739679642111
42,1993,Austria,1.1841692081766626
43,1994,Austria,1.3986522184287404
44,1995,Austria,1.1532736578134912
45,1996,Austria,1.0528475452738424
46,1997,Austria,1.3202379969923532
47,1998,Austria,1.3227934456195676
48,1999,Austria,1.0235356165580076
49,2000,Austria,0.9919899487103012
50,2001,Austria,1.280592942104282
51,2002,Austria,1.2300108033008108
52,2003,Austria,1.1596807565925982
53,2004,Austria,1.0914781690559143
54,2005,Austria,1.3158101169087404
55,2006,Austria,1.113807081819704
56,2007,Austria,1.2238616490477594
57,2008,Austria,1.486836057039801
58,2009,Austria,1.1326802591933665
59,2010,Austria,1.2846849504162388
60,2011,Austria,1.4603208274846562
61,2012,Austria,1.4185902282454472
62,2013,Austria,1.2481863675758238
63,2014,Austria,1.4861830747119025
64,2015,Austria,1.2318027462626842
65,2016,Austria,1.261471172988753
66,2017,Austria,1.0876341263370617
67,2018,Austria,1.2876513260799218
68,2019,Austria,1.3483333112629494
69,2020,Austria,1.1656575287121524
70,2021,Austria,1.2257743809255637
71,2022,Austria,1.0608934414422284
72,2023,Austria,1.195063021294451
73,2024,Austria,1.417484787283171
74,2025,Austria,0.9816816144490264
75,2026,Austria,1.1037950844060636
76,2027,Austria,1.1551740796038703
77,2028,Austria,1.258296623809471
78,2029,Austria,1.2805147344657128
79,2030,Austria,1.4964102909736798
80,2031,Austria,1.2876114055046126
81,2032,Austria,1.1823108447982558
82,2033,Austria,1.2289286693125538
83,2034,Austria,1.4094088690421325
84,2035,Austria,1.2484151242982215
85,2036,Austria,1.369066254207272
86,2037,Austria,1.192591936847922
87,2038,Austria,1.2909289051214987
88,2039,Austria,1.2652011410174044
89,2040,Austria,1.428666225038804
90,2041,Austria,1.1259976541880128
91,2042,Austria,1.434167697552048
92,2043,Austria,1.4489576720002548
93,2044,Austria,1.2045040055859373
94,2045,Austria,1.5496329416224648
95,2046,Austria,1.4140957479658751
96,2047,Austria,1.357585658781017
97,2048,Austria,1.450450298251649
98,2049,Austria,1.414411363775642
99,2050,Austria,1.0041111086054633
100,2051,Austria,1.289513757846235
101,2052,Austria,1.1271867906606434
102,2053,Austria,1.3110487090163745
103,2054,Austria,1.0993874127115857
104,2055,Austria,1.3196557151882706
105,2056,Austria,1.373887413672435
106,2057,Austria,1.5213030085353425
107,2058,Austria,1.314085262365422
108,2059,Austria,1.3996213287018917
109,2060,Austria,1.6895275317067535
110,2061,Austria,1.4377190514626554
111,2062,Austria,1.333685300207266
112,2063,Austria,1.434187067974711
113,2064,Austria,1.3468972001705015
114,2065,Austria,1.1702879484094544
115,2066,Austria,1.2504410155193446
116,2067,Austria,1.544933748016463
117,2068,Austria,1.372999233676799
118,2069,Austria,1.3654110687612149
119,2070,Austria,1.1965945280821857
120,2071,Austria,1.4045933835153908
121,2072,Austria,1.3473798401873838
122,2073,Austria,1.2996306388256853
123,2074,Austria,0.9565898321009484
124,2075,Austria,1.179591937837007
125,2076,Austria,1.406432035755082
126,2077,Austria,1.401197318828333
127,2078,Austria,1.206122085415135
128,2079,Austria,1.506424797447997
129,2080,Austria,1.242678778141595
130,2081,Austria,1.2324323611426011
131,2082,Austria,1.7021069409041434
132,2083,Austria,1.3929118479379874
133,2084,Austria,1.2224014102944298
134,2085,Austria,1.2976398408028955
135,2086,Austria,1.265817826251605
136,2087,Austria,1.5551648329291898
137,2088,Austria,1.251778572904951
138,2089,Austria,1.3479366620084452
139,2090,Austria,1.0775497207052318
140,2091,Austria,1.4536136138781792
141,2092,Austria,1.4264353815137016
142,2093,Austria,1.331552524038702
143,2094,Austria,1.3329319923114569
144,2095,Austria,1.3084710438596556
145,2096,Austria,1.4826465413782983
146,2097,Austria,1.3232745579663572
147,2098,Austria,1.4690273807735812
148,2099,Austria,1.440915460923865
149,2100,Austria,1.2587933312585615
150,1951,Belgium,0.7368397835312651
151,1952,Belgium,0.7878506201595384
152,1953,Belgium,0.7969693376644447
153,1954,Belgium,0.6989941902126876
154,1955,Belgium,1.0249116277626236
155,1956,Belgium,0.8433425818520227
156,1957,Belgium,0.9115928450660946
157,1958,Belgium,0.853911748595687
158,1959,Belgium,0.6850306780133424
159,1960,Belgium,0.7811269959776358
160,1961,Belgium,0.6956959994629961
161,1962,Belgium,0.7997762976424552
162,1963,Belgium,0.8085794522465342
163,1964,Belgium,0.7584724373912834
164,1965,Belgium,0.7848595416824976
165,1966,Belgium,0.8351464557840417
166,1967,Belgium,0.722187648711401
167,1968,Belgium,0.7529079955613859
168,1969,Belgium,0.7124523094938747
169,1970,Belgium,0.8241727786218225
170,1971,Belgium,0.9629596419902536
171,1972,Belgium,0.7011877776019239
172,1973,Belgium,0.9395653303866924
173,1974,Belgium,0.8257626486534342
174,1975,Belgium,0.7773456540354249
175,1976,Belgium,0.742156243899073
176,1977,Belgium,0.9060902383527708
177,1978,Belgium,0.7650790258445473
178,1979,Belgium,0.7859437497980373
179,1980,Belgium,0.8593634674695552
180,1981,Belgium,0.8136690294765266
181,1982,Belgium,0.9726137623991338
182,1983,Belgium,0.6861505644490712
183,1984,Belgium,0.7820629906151663
184,1985,Belgium,0.762067861117985
185,1986,Belgium,0.9105152195710438
186,1987,Belgium,0.9077298756552876
187,1988,Belgium,0.8469246389057855
188,1989,Belgium,0.8140327205472806
189,1990,Belgium,0.904773096448969
190,1991,Belgium,1.025133840444008
191,1992,Belgium,0.9933482090375504
192,1993,Belgium,0.8867354050906494
193,1994,Belgium,1.0071864498185663
194,1995,Belgium,0.9949486175061552
195,1996,Belgium,0.9205567638066644
196,1997,Belgium,0.9987326946512742
197,1998,Belgium,0.9245429145734608
198,1999,Belgium,0.879029512153479
199,2000,Belgium,0.7831806308835847
200,2001,Belgium,1.0874432706970587
201,2002,Belgium,0.9339774105480182
202,2003,Belgium,0.9808430283262476
203,2004,Belgium,0.911446372879512
204,2005,Belgium,0.8922168313491347
205,2006,Belgium,1.12418882081623
206,2007,Belgium,0.7552547732093757
207,2008,Belgium,0.8480195908959375
208,2009,Belgium,0.7343069896817248
209,2010,Belgium,0.8302137714555797
210,2011,Belgium,0.993692208222484
211,2012,Belgium,1.0402836500272254
212,2013,Belgium,0.7702518279423634
213,2014,Belgium,1.0629124055163008
214,2015,Belgium,0.8748929581466555
215,2016,Belgium,0.7165129316258154
216,2017,Belgium,0.734757971265785
217,2018,Belgium,1.0662833212777232
218,2019,Belgium,0.8985676723408149
219,2020,Belgium,0.7444984641778053
220,2021,Belgium,0.7892818912088191
221,2022,Belgium,0.944510667648384
222,2023,Belgium,0.9630316868168644
223,2024,Belgium,1.077074047204725
224,2025,Belgium,0.7810249044101616
225,2026,Belgium,0.9385689657344586
226,2027,Belgium,0.8169747958910846
227,2028,Belgium,1.0112914245701017
228,2029,Belgium,1.0363629393620517
229,2030,Belgium,1.0274606027331217
230,2031,Belgium,0.8884937955944109
231,2032,Belgium,0.7465569771957429
232,2033,Belgium,0.9134046424504514
233,2034,Belgium,0.907101908530568
234,2035,Belgium,0.8800316095641302
235,2036,Belgium,0.8344776610920152
236,2037,Belgium,0.8878762560003562
237,2038,Belgium,0.8369947075703883
238,2039,Belgium,0.8698613265095602
239,2040,Belgium,1.102370236024015
240,2041,Belgium,0.8927496981679535
241,2042,Belgium,0.9805192793344902
242,2043,Belgium,1.0380891116300175
243,2044,Belgium,1.008705568558428
244,2045,Belgium,1.1549378229451095
245,2046,Belgium,1.0281153142358128
246,2047,Belgium,1.1190918926251887
